a	@
a.	eI
ab	{ b
abbs	{ b z
abe	eI b
abt	{ b t
ace	eI s
aced	eI s t
ache	eI k
aches	eI k s
ack	{ k
act	{ k t
acts	{ k t s
act's	{ k t s
ad	{ d
add	{ d
addle	{ d ADDLEMANl l
addled	{ d ADDLEMANl l d
adds	{ d z
ade	eI d
ads	{ d z
ad's	{ d z
adz	{ d z
ae	eI
aer	e@
aft	{ f t
ag	{ g
age	eI dZ
aged	eI dZ d
ah	Q
ahh	Q
ahl	Q l
ahs	Q z
ai	aI
aid	eI d
aide	eI d
aides	eI d z
aide's	eI d z
aids	eI d z
ail	eI l
ails	eI l z
aim	eI m
aime	eI m
aimed	eI m d
aims	eI m z
ain't	eI n t
air	e@
aired	e@ d
airs	e@ z
air's	e@ z
ais	aI z
aisle	aI l
aisles	aI l z
akc	{ k
ake	eI k
akst	{ k s t
al	{ l
al.	{ l
ale	eI l
ales	eI l z
alf	{ l f
all	O: l
alles	eI l z
alls	O: l z
alm	Q m
alms	Q l m z
alps	{ l p s
als	{ l z
al's	{ l z
alt	Q l t
am	{ m
amc	{ m k
ame	eI m
ames	eI m z
amp	{ m p
ams	{ m z
am's	{ m z
an	{ n
and	{ n d
ands	{ n d z
ang	{ N
ange	eI n dZ
angst	Q N k s t
ann	{ n
anne	{ n
anne's	{ n z
ann's	{ n z
anse	{ n s
ant	{ n t
ants	{ n t s
ape	eI p
apes	eI p s
app	{ p
apps	{ p s
apt	{ p t
ar	Q@
arb	Q@ b
arbs	Q@ b z
arc	Q@ k
arce	Q@ s
arch	Q@ tS
arched	Q@ tS t
arcs	Q@ k s
ard	Q@ d
are	Q@
ares	Q@ z
ark	Q@ k
arm	Q@ m
armed	Q@ m d
armes	Q@ m z
arms	Q@ m z
arm's	Q@ m z
arn	Q@ n
arndt	Q@ n t
arne	Q@ n
arnst	Q@ n s t
arp	Q@ p
art	Q@ t
arts	Q@ t s
art's	Q@ t s
arx	Q@ k s
as	{ z
a's	eI z
asch	{ S
ash	{ S
ashe	{ S
ask	{ s k
asked	{ s k t
asks	{ s k s
asp	{ s p
ass	{ s
assed	{ s t
ast	{ s t
